# Current working directory (CWD): /Users/maestro/cse312/hw4/NaiveBayes
# Testing/training files loaded successfully.
# Training...
# Done training.
# Test results:
155.txt spam
156.txt ham
157.txt spam
158.txt spam
159.txt spam
160.txt ham
161.txt spam
162.txt ham
163.txt spam
164.txt ham
165.txt ham
166.txt spam
167.txt spam
168.txt spam
169.txt spam
170.txt spam
171.txt ham
172.txt spam
173.txt ham
174.txt ham
175.txt ham
176.txt spam
177.txt ham
178.txt ham
179.txt spam
180.txt spam
181.txt spam
182.txt spam
183.txt spam
184.txt ham
185.txt spam
186.txt spam
187.txt spam
188.txt ham
189.txt ham
190.txt spam
191.txt spam
192.txt ham
193.txt spam
194.txt spam
195.txt ham
196.txt spam
197.txt spam
198.txt ham
199.txt ham
200.txt ham
201.txt spam
202.txt ham
203.txt ham
204.txt ham
205.txt spam
206.txt spam
207.txt spam
208.txt spam
209.txt spam
210.txt spam
211.txt ham
212.txt spam
213.txt ham
214.txt ham
215.txt ham
216.txt ham
217.txt ham
218.txt spam
219.txt ham
220.txt spam
221.txt spam
222.txt spam
223.txt spam
224.txt spam
225.txt ham
226.txt ham
227.txt spam
228.txt spam
229.txt ham
230.txt ham
231.txt ham
232.txt spam
233.txt spam
234.txt spam
235.txt spam
236.txt ham
237.txt ham
238.txt ham
239.txt spam
240.txt spam
241.txt ham
242.txt spam
243.txt spam
244.txt spam
245.txt ham
246.txt spam
247.txt spam
248.txt spam
249.txt spam
250.txt ham
251.txt ham
252.txt spam
253.txt ham
254.txt spam
255.txt spam
256.txt spam
257.txt spam
258.txt ham
259.txt ham
260.txt spam
261.txt ham
262.txt spam
263.txt ham
264.txt spam
265.txt spam
266.txt ham
267.txt spam
268.txt ham
269.txt spam
270.txt spam
271.txt ham
272.txt ham
273.txt ham
274.txt ham
275.txt ham
276.txt ham
277.txt spam
278.txt ham
279.txt ham
280.txt spam
281.txt spam
282.txt ham
283.txt spam
284.txt spam
285.txt spam
286.txt spam
287.txt ham
288.txt ham
289.txt spam
290.txt ham
291.txt ham
292.txt ham
293.txt ham
294.txt ham
295.txt spam
296.txt spam
297.txt ham
298.txt spam
299.txt ham
300.txt spam
301.txt spam
302.txt spam
303.txt spam
304.txt spam
305.txt ham
306.txt spam
307.txt spam
308.txt ham
309.txt spam
310.txt ham
311.txt spam
312.txt spam
313.txt ham
314.txt spam
315.txt spam
316.txt ham
317.txt ham
318.txt ham
319.txt spam
320.txt ham
321.txt ham
322.txt ham
323.txt spam
324.txt spam
325.txt ham
326.txt spam
327.txt spam
328.txt spam
329.txt spam
330.txt spam
331.txt ham
332.txt spam
333.txt spam
334.txt ham
335.txt spam
336.txt ham
337.txt ham
338.txt spam
339.txt ham
340.txt ham
341.txt spam
342.txt ham
343.txt ham
344.txt ham
345.txt ham
346.txt ham
347.txt ham
348.txt ham
349.txt spam
350.txt spam
351.txt spam
352.txt spam
353.txt ham
354.txt spam
355.txt ham
356.txt ham
357.txt spam
358.txt spam
359.txt ham
360.txt spam
361.txt ham
362.txt spam
363.txt ham
364.txt spam
365.txt spam
366.txt ham
367.txt spam
368.txt spam
369.txt ham
370.txt spam
371.txt spam
372.txt ham
373.txt ham
374.txt ham
375.txt ham
376.txt ham
377.txt spam
378.txt spam
379.txt spam
380.txt ham
381.txt ham
382.txt spam
383.txt spam
384.txt ham
385.txt ham
386.txt spam
387.txt ham
388.txt ham
389.txt ham
390.txt spam
391.txt ham
392.txt spam
393.txt spam
394.txt spam
395.txt ham
396.txt spam
397.txt ham
398.txt ham
399.txt spam
400.txt spam
401.txt ham
402.txt ham
403.txt spam
404.txt spam
405.txt spam
406.txt spam
407.txt ham
408.txt ham
409.txt spam
410.txt spam
411.txt spam
412.txt spam
413.txt ham
414.txt ham
415.txt spam
416.txt ham
417.txt ham
418.txt ham
419.txt spam
420.txt ham
421.txt spam
422.txt spam
423.txt spam
424.txt spam
425.txt ham
426.txt ham
427.txt spam
428.txt ham
429.txt spam
430.txt spam
431.txt spam
432.txt spam
433.txt ham
434.txt spam
435.txt spam
436.txt ham
437.txt ham
438.txt spam
439.txt ham
440.txt ham
441.txt spam
442.txt spam
443.txt spam
444.txt ham
445.txt ham
446.txt ham
447.txt spam
448.txt spam
449.txt spam
450.txt ham
451.txt spam
452.txt ham
453.txt ham
454.txt ham
455.txt ham
456.txt spam
457.txt spam
458.txt spam
459.txt ham
460.txt spam
461.txt ham
462.txt spam
463.txt ham
464.txt ham
465.txt spam
466.txt ham
467.txt ham
468.txt ham
469.txt spam
470.txt ham
471.txt spam
472.txt spam
473.txt ham
474.txt spam
475.txt ham
476.txt ham
477.txt spam
478.txt spam
479.txt spam
480.txt spam
481.txt spam
482.txt ham
483.txt spam
484.txt ham
485.txt ham
486.txt ham
487.txt ham
488.txt spam
489.txt spam
490.txt ham
491.txt spam
492.txt spam
493.txt spam
494.txt spam
495.txt ham
496.txt ham
497.txt ham
498.txt spam
499.txt ham
500.txt spam
